emp_id,dept,task,application
E1001,Sales,leave,"I would like to apply for earned leave for 5 days next month to attend a family function. All my deliverables are planned in advance."
E1004,Marketing,complaint,"Recent campaign deadlines were missed due to dependencies outside my control, and I feel this should be formally reviewed."
E1006,Engineering,transfer,"I am interested in exploring opportunities in another engineering team to better align with my long-term growth goals."
E1009,Sales,leave,"Requesting casual leave for 2 days as I have personal commitments. My clients have been informed."
E1011,DevOps,leave,"I would like to take 3 days off to recover from fatigue caused by frequent on-call duties."
E1012,Engineering,complaint,"Despite being consistently available online, my efforts are being questioned. I would like clarity on evaluation criteria."
E1015,Sales,leave,"Applying for leave next week as I have completed my assigned tasks ahead of schedule."
E1016,DevOps,complaint,"The current workload distribution in DevOps is uneven and impacts my ability to deliver efficiently."
E1019,Marketing,transfer,"I would like to move to a different department where my analytical skills can be better utilized."
E1020,Sales,leave,"Requesting leave for 1 day due to personal reasons. I will ensure no sales leads are affected."

E1021,Engineering,leave,"I am requesting earned leave for focused personal work. My tasks are already completed for the sprint."
E1022,DevOps,complaint,"System stability issues are affecting overall morale, and I believe this needs management attention."
E1024,Marketing,transfer,"I am interested in an internal transfer to gain exposure to strategy-driven roles."
E1026,Engineering,leave,"Applying for casual leave as I need time to address health-related matters."
E1027,DevOps,complaint,"Frequent firefighting tasks are preventing meaningful progress and should be formally addressed."
E1030,Sales,leave,"Requesting leave for 2 days after successfully closing multiple deals this quarter."
E1032,DevOps,transfer,"I would like to be considered for another role that better suits my strengths and experience."
E1034,Engineering,complaint,"While my output remains high, the current pace of work is becoming unsustainable long-term."
E1036,Sales,leave,"Requesting leave for a short break to maintain work-life balance."
E1037,DevOps,complaint,"The lack of long-term planning in current projects is affecting delivery quality."

E1038,Engineering,transfer,"I am exploring opportunities to contribute at a higher level in a different vertical."
E1040,Marketing,leave,"Applying for leave to attend a personal commitment outside work."
E1041,Sales,leave,"Requesting earned leave after meeting all quarterly performance expectations."
E1042,Engineering,transfer,"I would like an early transfer approval as my skills are better aligned with another team’s roadmap."
E1044,DevOps,complaint,"Current incident response processes are inefficient and should be reviewed."
E1045,Marketing,leave,"Requesting leave for personal reasons, with all responsibilities handed over."
E1046,Sales,leave,"Applying for casual leave due to unforeseen circumstances."
E1047,Engineering,transfer,"I am interested in internal mobility to take on more challenging technical problems."
E1049,Marketing,leave,"Requesting leave after the successful completion of the recent marketing campaign."
E1050,DevOps,complaint,"Repeated operational issues are impacting productivity, and I believe this warrants escalation."
